WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-04-14T06:00:00,3.601108,5.14444,,4.115552,,4.115552,,3.601108,,4.629996,,3.601108,,4.629996,,4.115552,,,,,,5.14444,,4.115552,,,,4.629996,,4.115552,,4.629996,,
2018-04-14T12:00:00,7.202216,7.202216,7.71666,,6.687772,,7.71666,,6.687772,,6.173328,,5.658884,,6.173328,,5.658884,,,,,,5.658884,,7.202216,,6.687772,,7.71666,,5.14444,,6.687772,
2018-04-14T18:00:00,5.658884,8.231104,8.231104,8.745548,,7.202216,,7.202216,,6.173328,,7.202216,,6.687772,,6.687772,,6.687772,,,,,,,,6.687772,,,,7.202216,,4.629996,,
2018-04-15T00:00:00,7.202216,7.202216,6.687772,6.687772,8.745548,,6.687772,,6.173328,,,,,,,,5.658884,,,,,,,,5.14444,,,,,,5.658884,,,
2018-04-15T06:00:00,,7.202216,7.71666,7.202216,7.202216,,,5.14444,,,,,,,,,,6.687772,,7.202216,,,,,,5.658884,,5.658884,,5.658884,,,,
2018-04-15T12:00:00,13.889988,,13.889988,11.317768,11.317768,11.317768,12.346656,,9.259992,,10.803324,,10.28888,,10.28888,,9.259992,,9.259992,,9.259992,,,,,,7.71666,,6.687772,,,,,
2018-04-15T18:00:00,13.889988,13.375544,,12.346656,12.346656,12.346656,12.346656,14.918876,,9.774436,,10.28888,,9.774436,,10.803324,,10.28888,,8.231104,,8.745548,,,,,,7.202216,,7.202216,,,,
2018-04-16T00:00:00,9.259992,9.259992,9.259992,,8.745548,8.745548,8.745548,8.745548,10.28888,,8.231104,,9.259992,,7.71666,,8.745548,,7.71666,,7.71666,,7.202216,,,,,,6.173328,,,,,
2018-04-16T06:00:00,10.803324,10.803324,10.28888,,,,8.231104,8.231104,8.231104,9.259992,,7.202216,,,,,,,,,,7.202216,,,,,,,,6.173328,,,,
2018-04-16T12:00:00,,12.346656,12.346656,12.346656,12.346656,,12.346656,11.317768,11.317768,11.317768,12.346656,,10.803324,,12.346656,,10.28888,,11.832212,,10.803324,,10.28888,,10.28888,,,,,,6.687772,,,
2018-04-16T18:00:00,13.375544,,13.375544,13.375544,13.375544,13.375544,,13.375544,12.346656,12.346656,12.346656,13.375544,,10.28888,,11.832212,,9.774436,,10.803324,,10.28888,,9.774436,,9.259992,,,,,,6.173328,,
2018-04-17T00:00:00,10.803324,10.803324,,10.803324,10.803324,10.803324,10.28888,,10.28888,8.231104,8.231104,8.231104,8.745548,,8.231104,,9.259992,,8.745548,,9.259992,,8.745548,,9.259992,,7.71666,,,,,,4.115552,
2018-04-17T06:00:00,,4.629996,5.658884,,6.173328,6.173328,6.173328,6.173328,,6.173328,4.115552,4.115552,4.115552,5.658884,,5.658884,,6.173328,,6.173328,,,,,,6.687772,,5.14444,,,,,,
2018-04-17T12:00:00,10.803324,,10.803324,10.28888,,10.28888,10.803324,10.803324,10.803324,,10.28888,9.259992,9.259992,9.259992,7.71666,,5.658884,,7.202216,,6.687772,,,,,,8.231104,,6.687772,,,,,
2018-04-17T18:00:00,,12.346656,,12.346656,11.832212,,11.832212,12.346656,12.346656,12.346656,,11.832212,9.774436,9.774436,9.774436,7.202216,,5.14444,,6.173328,,6.173328,,,,,,8.231104,,7.202216,,,,
2018-04-18T00:00:00,5.14444,,6.687772,,7.202216,6.173328,,6.173328,7.202216,7.202216,7.202216,,7.202216,5.658884,5.658884,5.658884,4.629996,,4.629996,,5.658884,,5.14444,,5.658884,,5.14444,,6.687772,,5.14444,,,
2018-04-18T06:00:00,3.086664,3.601108,,5.14444,,5.658884,4.115552,,4.115552,5.658884,5.658884,5.658884,,5.658884,5.14444,5.14444,5.14444,4.115552,,,,,,3.601108,,,,,,4.629996,,,,
2018-04-18T12:00:00,9.259992,9.259992,8.231104,,8.745548,,10.803324,9.774436,,9.774436,9.259992,9.259992,9.259992,,9.259992,6.687772,6.687772,6.687772,7.202216,,6.173328,,7.202216,,6.687772,,7.71666,,7.202216,,,,,
2018-04-18T18:00:00,,11.832212,11.832212,8.745548,,12.346656,,12.346656,11.832212,,11.832212,10.803324,10.803324,10.28888,,,7.202216,7.202216,7.202216,7.71666,,,,,,7.71666,,7.202216,,6.687772,,,,
2018-04-19T00:00:00,7.71666,,8.745548,8.745548,,,7.71666,,9.259992,7.71666,,7.71666,7.71666,8.745548,8.745548,,8.745548,6.687772,6.687772,6.687772,6.173328,,5.658884,,6.173328,,6.687772,,7.71666,,,,,
2018-04-19T06:00:00,,9.259992,,7.202216,7.202216,7.71666,,7.202216,,7.71666,5.658884,,5.658884,8.745548,8.745548,6.173328,,6.173328,5.658884,5.658884,5.658884,5.658884,,4.629996,,5.658884,,5.14444,,6.173328,,,,
2018-04-19T12:00:00,11.832212,,11.832212,,11.832212,11.832212,10.28888,,12.346656,,11.832212,9.774436,,9.774436,10.803324,10.803324,9.259992,,8.745548,7.202216,7.202216,7.202216,7.202216,,6.687772,,7.71666,,6.687772,,7.202216,,,
2018-04-19T18:00:00,7.71666,10.28888,,10.28888,,12.346656,12.346656,9.774436,,11.832212,,12.346656,9.259992,,9.259992,11.832212,11.832212,9.774436,,9.259992,8.231104,8.231104,8.231104,7.71666,,7.202216,,7.202216,,6.173328,,6.173328,,
2018-04-20T00:00:00,6.173328,7.202216,7.202216,,7.202216,,7.202216,7.202216,6.687772,,8.745548,,10.803324,7.71666,,7.71666,10.28888,10.28888,8.745548,,8.745548,7.202216,7.202216,7.202216,6.687772,,5.658884,,6.173328,,5.14444,,,
2018-04-20T06:00:00,6.173328,,,,,,,5.14444,5.14444,5.14444,,5.14444,,6.687772,5.14444,,5.14444,6.173328,6.173328,4.629996,,4.629996,5.14444,5.14444,5.14444,5.658884,,5.658884,,7.202216,,,,
2018-04-20T12:00:00,7.71666,8.745548,,,8.745548,,,,6.687772,6.687772,3.601108,,6.173328,,6.173328,4.629996,,4.629996,4.629996,4.629996,3.601108,,4.115552,4.629996,4.629996,4.629996,5.14444,,5.14444,,6.173328,,,
